max_throttle,min_throttle,throttle_ramp_rate,safety_margin,rollout_distance,pursuit_lookahead,pursuit_blend,progress_weight,clearance_weight,smoothness_weight,steering_penalty_weight,gap_alignment_weight,turn_commitment_weight,max_steering_delta,temporal_blend,disparity_threshold,max_jump_distance,history_penalty_radius,history_penalty_weight,gap_threshold_scale,max_gap_threshold,turn_prediction_gain,forward_critical_distance,forward_warning_distance,forward_caution_distance,laps_completed,runtime,avg_lap_time,lap_consistency,collisions,collisions_per_lap,success,endurance_score
0.15,0.05,0.015,0.12,2.5,2.4,0.8,6,1,-2,-0.3,1.5,4,0.06,0.05,0.4,2,2,1,0.25,1.5,0.35,0.7,1.3,2,7,135.058929920197,19.2941328457424,0.966401638086581,19,2.71428571428571,0,-328.067340304789
0.25,0.05,0.02,0.22,2,2.1,0.2,3,3,-2.5,-0.9,1.5,2,0.1,0.1,1,2,1,8,0.35,2.5,0.1,0.7,0.6,1.2,15,121.554900884628,8.10366005897522,0.531732954482909,31,2.06666666666667,1,-417.917814919853
0.3,0.05,0.01,0.2,2,1.5,0.6,3,3,-0.5,-0.1,2.5,3,0.1,0.05,1,1.2,0.8,8,0.35,3,0.35,0.3,1,1.2,15,126.34893655777,8.42326243718465,0.331295007994447,48,3.2,1,-757.714631132934
0.3,0.07,0.02,0.1,3,1.8,0.3,6,5,-2.5,-0.5,0.5,6,0.1,0.3,1,2,1.2,4,0.6,3,0.35,0.3,1.3,1,11,100.049675941467,9.09542508558794,0.364951296626177,50,4.54545454545455,0,-859.563319197101
0.25,0.07,0.03,0.08,1.5,1.5,0.7,1,4,-1.5,-0.1,2,7,0.08,0.1,1,1.5,1.2,4,0.45,2.5,0.5,0.3,1,2,13,135.00297832489,10.38484448653,0.764181260048699,41,3.15384615384615,0,-654.783017516569
0.2,0.05,0.02,0.2,3,1.2,0.5,1,5,-2.5,-0.3,2.5,2,0.08,0.2,0.5,1.2,1.2,6,0.6,2.5,0.5,0.7,1,1.5,2,61.5048518180847,30.7524259090424,999,50,25,0,-6041.88106477261
0.3,0.03,0.005,0.18,3.5,2.1,0.6,3,3,-2.5,-0.9,1,6,0.04,0.1,0.5,2,0.8,8,0.35,2.5,0.2,0.5,1,1.2,0,50.0424263477325,999,999,50,50,0,-8492.5
0.25,0.03,0.02,0.18,3.5,1.2,0.8,5,4,-2.5,-0.3,1,5,0.08,0.05,0.7,1.5,1,8,0.35,2.5,0.2,0.3,1.3,1.2,0,68.7091538906097,999,999,50,50,0,-8492.5
0.3,0.07,0.015,0.2,1.5,1.2,0.8,4,2,-1.5,-0.3,0.5,4,0.1,0.2,0.25,0.8,1.2,4,0.6,2,0.35,0.5,1,1,10,91.6348097324371,9.16348097324371,0.624253842229552,50,5,0,-876.029971644257
0.3,0.03,0.005,0.22,2.5,1.8,0.5,1,3,-2.5,-0.9,2,7,0.04,0.2,0.25,0.8,0.8,1,0.25,2.5,0.25,0.4,1,1,14,135.036343336105,9.6454530954361,0.842681929698234,34,2.42857142857143,0,-498.327042387081
0.3,0.07,0.015,0.16,2.5,2.4,0.7,4,1,-2.5,-0.9,1,4,0.06,0.05,0.5,1.5,2,6,0.6,1.5,0.25,0.7,0.6,2,14,126.285143136978,9.02036736692701,0.826316966565332,50,3.57142857142857,0,-816.682503250144
0.4,0.05,0.02,0.12,3.5,1.2,0.7,5,3,-1,-0.5,2,6,0.08,0.3,0.25,0.8,1.5,4,0.45,2,0.5,0.3,0.6,2,0,48.9083545207977,999,999,50,50,0,-8492.5
0.45,0.05,0.03,0.12,3,2.4,0.2,3,2,-2,-0.7,2,6,0.08,0.05,0.4,1.5,1.5,8,0.25,3,0.25,0.3,1.3,1,9,80.5911731719971,8.95457479688856,2.31337089164121,50,5.55555555555556,0,-898.953291450428
0.15,0.07,0.005,0.18,3,2.1,0.6,3,4,-1.5,-0.5,1.5,4,0.1,0.2,0.4,1.5,0.8,6,0.6,3,0.5,0.3,0.6,1,10,135.058605670929,13.5058605670929,1.0407567005258,44,4.4,0,-768.968434920361
